County & State,FIPS,2017,2018,2019,2020,2021
"Brevard County,  Florida",12009,196589,211769,234362,243069,261905
"Broward County,  Florida",12011,259907,280525,290949,315841,336572
"Calhoun County,  Florida",12013,91751,84402,85931,89339,95192
"Charlotte County,  Florida",12015,201110,205891,213967,237064,259344
"Citrus County,  Florida",12017,128340,135994,145438,164384,175154
"Clay County,  Florida",12019,192207,192049,208545,224502,241138
"Collier County,  Florida",12021,359273,380260,383804,385398,418379
"Columbia County,  Florida",12023,122029,153508,131169,169954,181089
"DeSoto County,  Florida",12027,97705,88306,89208,92177,98216
"Dixie County,  Florida",12029,89685,75540,78744,82507,87913
"Duval County,  Florida",12031,176545,200911,205012,217280,233381
"Escambia County,  Florida",12033,138412,154338,158993,185661,199419
"Franklin County,  Florida",12037,148990,142746,147446,174474,185905
"Gadsden County,  Florida",12039,123750,106305,108491,101186,106507
"Gilchrist County,  Florida",12041,120170,104226,104019,110178,116062
"Glades County,  Florida",12043,102688,84508,80752,80615,85897
"Gulf County,  Florida",12045,173416,159732,158862,168904,179969
"Hamilton County,  Florida",12047,84460,77545,75150,84189,89704
"Hardee County,  Florida",12049,98070,85669,86460,87657,93400
"Hendry County,  Florida",12051,87984,84086,86671,99324,105831
"Hernando County,  Florida",12053,144087,156670,165005,183418,199202
"Highlands County,  Florida",12055,102540,105715,111827,152297,162274
"Hillsborough County,  Florida",12057,217558,234511,250252,260152,282541
"Holmes County,  Florida",12059,103417,97485,98509,97432,103815
"Indian River County,  Florida",12061,212101,213941,231079,249338,269666
"Jackson County,  Florida",12063,111925,100122,104428,104054,110871
"Jefferson County,  Florida",12065,154346,138207,129203,139549,146888
"Lafayette County,  Florida",12067,133434,106980,111932,110044,117254
"Lake County,  Florida",12069,182980,201702,216926,234744,249549
"Lee County,  Florida",12071,215111,236931,246655,257102,280501
"Leon County,  Florida",12073,195505,211246,230900,236136,248554
"Levy County,  Florida",12075,107671,93581,105062,111096,118374
"Liberty County,  Florida",12077,89928,65834,70394,78933,84105
"Madison County,  Florida",12079,95397,91999,92379,93648,99783
"Manatee County,  Florida",12081,231753,249377,267768,287282,311461
"Marion County,  Florida",12083,136128,146936,162367,173058,183092
"Martin County,  Florida",12085,283150,307053,313965,325443,352422
"Miami-Dade County,  Florida",12086,293722,310009,332349,347488,370296
"Monroe County,  Florida",12087,453899,541973,572769,594263,633196
"Nassau County,  Florida",12089,245873,252896,241197,256215,275201
"Okaloosa County,  Florida",12091,230184,225900,255441,258032,277951
"Okeechobee County,  Florida",12093,113990,94848,94915,111411,118710
"Orange County,  Florida",12095,224980,255286,275411,279742,297385
"Osceola County,  Florida",12097,189587,215534,232770,242821,258135
"Palm Beach County,  Florida",12099,287075,304413,314217,327301,348784
"Pasco County,  Florida",12101,163703,177310,187823,204839,222467
"Pinellas County,  Florida",12103,202697,216615,232277,246617,267841
