state,county,2016,2017,2018,2019,2020,2021
  Colorado,Lincoln County,225.2,71484.42,260.33,144576.0,155221.0,158724.0
  Colorado,Logan County,225.2,75345.71,260.33,164606.0,166618.0,170377.0
  Colorado,Mesa County,222.0,110858.51,258.92,244512.0,281668.0,293692.0
  Colorado,Mineral County,225.2,167286.33,260.33,312805.0,325638.0,332986.0
  Colorado,Moffat County,225.2,106173.45,260.33,181866.0,192365.0,196706.0
  Colorado,Montezuma County,225.2,108948.51,260.33,221925.0,235101.0,240406.0
  Colorado,Montrose County,225.2,115283.3,260.33,226826.0,236789.0,242132.0
  Colorado,Morgan County,225.2,87893.74,260.33,195929.0,212308.0,217099.0
  Colorado,Otero County,225.2,55557.7,260.33,97911.0,100139.0,102399.0
  Colorado,Ouray County,225.2,234552.44,260.33,447366.0,473789.0,484480.0
  Colorado,Park County,280.96,180621.85,339.55,297212.0,343861.0,352948.0
  Colorado,Phillips County,225.2,80051.16,260.33,165671.0,167251.0,171025.0
  Colorado,Pitkin County,225.2,374575.3,260.33,664178.0,649904.0,664569.0
  Colorado,Prowers County,225.2,52843.16,260.33,100255.0,111958.0,114484.0
  Colorado,Pueblo County,177.28,85326.79,213.13,185826.0,208212.0,215754.0
  Colorado,Rio Blanco County,225.2,123669.0,260.33,216385.0,207982.0,212675.0
  Colorado,Rio Grande County,225.2,80775.31,260.33,171851.0,181496.0,185592.0
  Colorado,Routt County,225.2,238172.17,260.33,543999.0,564854.0,577600.0
  Colorado,Saguache County,225.2,88617.9,260.33,159279.0,161131.0,164767.0
  Colorado,San Juan County,225.2,134769.24,260.33,305453.0,340200.0,347876.0
  Colorado,San Miguel County,225.2,309480.62,260.33,523224.0,505762.0,517175.0
  Colorado,Sedgwick County,225.2,52481.08,260.33,93010.0,102461.0,104773.0
  Colorado,Summit County,225.2,288968.96,260.33,599827.0,611600.0,625401.0
  Colorado,Teller County,201.75,152258.0,245.95,300236.0,317343.0,326828.0
  Colorado,Washington County,225.2,68407.8,260.33,147773.0,159653.0,163256.0
  Colorado,Weld County,224.26,148345.14,274.98,338087.0,385841.0,392069.0
  Colorado,Yuma County,225.2,82404.14,260.33,182825.0,202389.0,206956.0
  Connecticut,Fairfield County,199.5,214872.69,203.3,445210.0,471896.0,484892.0
  Connecticut,Hartford County,172.82,120878.03,175.93,252503.0,257139.0,262381.0
  Connecticut,Litchfield County,166.83,126779.82,168.64,265139.0,279562.0,288154.0
  Connecticut,Middlesex County,172.82,143264.22,175.93,296484.0,307340.0,313607.0
  Connecticut,New Haven County,178.09,123885.15,183.07,262445.0,268141.0,274394.0
  Connecticut,New London County,180.1,128150.16,188.96,247745.0,272237.0,283015.0
  Connecticut,Tolland County,172.82,125132.77,175.93,274441.0,277854.0,283519.0
  Connecticut,Windham County,166.83,101113.34,168.64,214617.0,233004.0,240166.0
  Delaware,Kent County,177.52,113178.9,187.38,248889.0,238217.0,247645.0
  Delaware,New Castle County,234.17,138506.24,264.94,286459.0,287306.0,292942.0
  District of Columbia,District of Columbia,256.08,299892.66,277.88,644821.0,675326.0,687410.0
  Florida,Alachua County,198.74,97913.78,232.72,205378.0,233197.0,237288.0
  Florida,Baker County,223.14,74350.9,261.12,129431.0,146771.0,151241.0
  Florida,Bay County,207.62,93805.2,237.64,186159.0,215587.0,220032.0
  Florida,Bradford County,244.81,54345.15,271.0,102737.0,117175.0,120402.0
  Florida,Brevard County,208.97,100509.14,255.15,234362.0,245990.0,252790.0
  Florida,Broward County,280.75,131657.99,327.03,290949.0,318410.0,327349.0
  Florida,Calhoun County,244.81,46018.15,271.0,85931.0,89891.0,92366.0
  Florida,Charlotte County,205.82,102143.09,241.97,213967.0,240542.0,250482.0
  Florida,Citrus County,244.81,64318.63,271.0,145438.0,165399.0,169954.0
  Florida,Clay County,223.14,97291.66,261.12,208545.0,226655.0,233558.0
  Florida,Collier County,274.37,181079.2,307.03,383804.0,390330.0,401446.0
  Florida,Columbia County,244.81,61161.84,271.0,131169.0,171004.0,175713.0
  Florida,DeSoto County,244.81,48996.07,271.0,89208.0,92746.0,95300.0
  Florida,Dixie County,244.81,44984.52,271.0,78744.0,83017.0,85303.0
  Florida,Duval County,223.14,89373.61,261.12,205012.0,219364.0,226045.0
  Florida,Escambia County,195.12,70261.27,226.55,158993.0,189248.0,194925.0
  Florida,Franklin County,244.81,74646.83,271.0,147446.0,175552.0,180386.0
  Florida,Gadsden County,178.76,64003.39,200.27,108491.0,102010.0,103279.0
  Florida,Gilchrist County,198.74,61205.86,232.72,104019.0,111391.0,113344.0
  Florida,Glades County,244.81,51488.17,271.0,80752.0,81113.0,83347.0
  Florida,Gulf County,244.81,86863.92,271.0,158862.0,169947.0,174626.0
  Florida,Hamilton County,244.81,42370.96,271.0,75150.0,84709.0,87041.0
  Florida,Hardee County,244.81,49178.51,271.0,86460.0,88199.0,90627.0
  Florida,Hendry County,244.81,44133.83,271.0,86671.0,99938.0,102689.0
  Florida,Hernando County,239.44,73736.85,289.84,165005.0,185457.0,192135.0
  Florida,Highlands County,244.81,51413.98,271.0,111827.0,153238.0,157457.0
  Florida,Hillsborough County,239.44,111270.87,289.84,250252.0,263044.0,272517.0
  Florida,Holmes County,244.81,51853.04,271.0,98509.0,98034.0,100733.0
  Florida,Indian River County,203.1,107540.95,244.67,231079.0,251199.0,262291.0
  Florida,Jackson County,244.81,56108.01,271.0,104428.0,104697.0,107579.0
  Florida,Jefferson County,178.76,79804.96,200.27,129203.0,140685.0,142436.0
  Florida,Lafayette County,244.81,66866.64,271.0,111932.0,110724.0,113773.0
  Florida,Lake County,211.06,93337.07,254.17,216926.0,236661.0,242017.0
  Florida,Lee County,221.87,107603.39,252.13,246655.0,260673.0,268314.0
